city,date,wfo,product_id,issuance_time,confidence,model_spread_flag,regime,mentioned_today_high_f,observed_high_f,signed_error,abs_error,extraction_failed
AUS,2026-04-09,EWX,202604091052-KEWX-FXUS64-AFDEWX,2026-04-09T10:52:00+00:00,moderate,False,convective,,84.0,,,False
AUS,2026-04-10,EWX,202604101043-KEWX-FXUS64-AFDEWX,2026-04-10T10:43:00+00:00,moderate,False,convective,75,82.0,-7.0,7.0,False
AUS,2026-04-11,EWX,202604111048-KEWX-FXUS64-AFDEWX,2026-04-11T10:48:00+00:00,high,False,trough,,84.0,,,False
AUS,2026-04-12,EWX,202604121122-KEWX-FXUS64-AFDEWX,2026-04-12T11:22:00+00:00,low,True,convective,,80.0,,,False
AUS,2026-04-13,EWX,202604131024-KEWX-FXUS64-AFDEWX,2026-04-13T10:24:00+00:00,moderate,False,trough,80,89.0,-9.0,9.0,False
AUS,2026-04-14,EWX,202604141014-KEWX-FXUS64-AFDEWX,2026-04-14T10:14:00+00:00,moderate,True,trough,,88.0,,,False
AUS,2026-04-15,EWX,202604151117-KEWX-FXUS64-AFDEWX,2026-04-15T11:17:00+00:00,moderate,False,convective,,86.0,,,False
AUS,2026-04-16,EWX,202604161053-KEWX-FXUS64-AFDEWX,2026-04-16T10:53:00+00:00,moderate,False,trough,95,89.0,6.0,6.0,False
AUS,2026-04-17,EWX,202604171050-KEWX-FXUS64-AFDEWX,2026-04-17T10:50:00+00:00,moderate,True,frontal_passage,95,89.0,6.0,6.0,False
AUS,2026-04-18,EWX,202604181102-KEWX-FXUS64-AFDEWX,2026-04-18T11:02:00+00:00,low,True,frontal_passage,,74.0,,,False
AUS,2026-04-19,EWX,202604191105-KEWX-FXUS64-AFDEWX,2026-04-19T11:05:00+00:00,moderate,True,frontal_passage,,72.0,,,False
AUS,2026-04-20,EWX,202604200928-KEWX-FXUS64-AFDEWX,2026-04-20T09:28:00+00:00,moderate,True,frontal_passage,65,62.0,3.0,3.0,False
AUS,2026-04-21,EWX,202604211044-KEWX-FXUS64-AFDEWX,2026-04-21T10:44:00+00:00,low,True,frontal_passage,70,64.0,6.0,6.0,False
AUS,2026-04-22,EWX,202604221043-KEWX-FXUS64-AFDEWX,2026-04-22T10:43:00+00:00,moderate,False,convective,85,85.0,0.0,0.0,False
AUS,2026-04-23,EWX,202604231044-KEWX-FXUS64-AFDEWX,2026-04-23T10:44:00+00:00,high,False,ridge,95,83.0,12.0,12.0,False
AUS,2026-04-24,EWX,202604241042-KEWX-FXUS64-AFDEWX,2026-04-24T10:42:00+00:00,high,False,convective,92,90.0,2.0,2.0,False
AUS,2026-04-25,EWX,202604251051-KEWX-FXUS64-AFDEWX,2026-04-25T10:51:00+00:00,moderate,False,convective,99,90.0,9.0,9.0,False
AUS,2026-04-26,EWX,202604261044-KEWX-FXUS64-AFDEWX,2026-04-26T10:44:00+00:00,moderate,False,convective,90,88.0,2.0,2.0,False
AUS,2026-04-27,EWX,202604271038-KEWX-FXUS64-AFDEWX,2026-04-27T10:38:00+00:00,high,False,ridge,90,89.0,1.0,1.0,False
AUS,2026-04-28,EWX,202604281048-KEWX-FXUS64-AFDEWX-AAA,2026-04-28T10:48:00+00:00,moderate,False,convective,,91.0,,,False
