city,date,wfo,high_point_f,high_range_low_f,high_range_high_f,forecast_high_f,observed_high_f,signed_error_f,abs_error_f,bust_flag,confidence_word,model_disagreement_mentioned,model_disagreement_direction,forecaster_lean,timing_critical,observational_anchor,revised_from_previous,n_uncertainty_phrases,n_bust_risk_words,n_synoptic_drivers,synoptic_drivers,drivers_normalized,key_quote,extraction_failed
AUS,2026-02-08,EWX,,,,,80.0,,,,,False,,none_mentioned,False,False,False,0,1,3,upper level ridge|stagnant upper level pattern|southerly lower level flow,ridge,"The increasing clouds cool daytime temperatures a little, however, they will remain well above average.",False
AUS,2026-02-09,EWX,,,,,85.0,,,,,False,,none_mentioned,False,True,False,0,0,2,lower level thermal ridge|moist southerly lower level flow,moist_air|ridge,Lower level thermal ridge maintains above average temperatures.,False
AUS,2026-02-10,EWX,,,,,69.0,,,,,False,,none_mentioned,False,False,False,0,1,2,moist southerly lower level flow|extensive cloudiness,moist_air,"Due to extensive cloudiness, temperatures cool off from the last few days.",False
AUS,2026-02-11,EWX,,,,,76.0,,,,,False,,none_mentioned,False,False,False,0,0,3,upper ridge|cold front|trough,frontal|ridge|trough,the consensus of models all depict highs above normal for mid February.,False
AUS,2026-02-12,EWX,,75,85,80.0,81.0,-1.0,1.0,0,,False,,none_mentioned,True,False,False,1,1,3,upper ridge|SW flow aloft|southerly return flow,ridge,"Either way, there should be plenty of intermittent sun and a ridge aloft leading to warmer temperatures today soaring into the mid 70s to mid 80s.",False
AUS,2026-02-13,EWX,,,,,82.0,,,,,False,,none_mentioned,False,True,False,0,1,2,southern stream upper low|inbound flow fetching Gulf moisture,moist_air|upper_low,"There should be plenty of morning clouds, maybe some pockets of fog to start the day, but also as seen Thursday, plenty of mixing and afternoon sun to keep the well above normal temperatures rolling.",False
AUS,2026-02-14,EWX,,,,,75.0,,,,,False,,none_mentioned,True,False,False,0,2,3,approaching upper-level trough|warm advection regime|Pacific cold front passage,frontal|trough|warm_advection,"Strong convective inhibition will greatly limit the strength of these initial showers, with a substantial overcast favored across South-Central Texas for most of the day.",False
AUS,2026-02-15,EWX,,70,83,76.5,74.0,2.5,2.5,0,,False,,none_mentioned,False,False,False,0,0,2,surface high pressure|mostly clear skies,,Highs today range from near 70 north of I-10 to the low 80s in the Rio Grande Plains under mostly clear skies.,False
AUS,2026-02-16,EWX,,75,82,78.5,78.0,0.5,0.5,0,,False,,none_mentioned,False,False,False,0,0,3,surface high|ridging|southerly low-level flow,,"highs Monday are forecast to be just slightly higher than Sunday's, in the upper 70s for most of the CWA to low 80s in the Rio Grande Plains.",False
AUS,2026-02-17,EWX,,80,89,84.5,84.0,0.5,0.5,0,,False,,none_mentioned,False,True,False,0,0,2,warm plateau airmass|southerly return flow,,Another unseasonably warm day is expected Tuesday with highs in the 80s for most regionwide.,False
AUS,2026-02-18,EWX,,,,,77.0,,,,,False,,none_mentioned,False,False,False,0,0,1,dryline push,,A well defined dryline pushes into the southern Edwards Plateau this morning and into the Hill Country this afternoon.,False
AUS,2026-02-19,EWX,,90,93,91.5,85.0,6.5,6.5,1,,True,cooler,none_mentioned,True,False,False,1,1,4,dryline movement|mid level impulse|warm mid level air|mixing,,This and mixing with warm mid level air results in the warmest day of the forecast with some low 90s across the Winter Garden.,False
AUS,2026-02-20,EWX,,60,85,72.5,68.0,4.5,4.5,0,,True,mixed,none_mentioned,True,False,False,3,1,3,dryline retrograde|surface high pressure|backdoor front,frontal,"Temperatures are tricky for these locations with the HREF indicating a high variability in model guidance, though it does look like cloud cover will remain over the area",False
AUS,2026-02-21,EWX,,,,,74.0,,,,,False,,none_mentioned,True,False,False,0,0,2,Pacific cold front|deeper north winds,frontal,"Mid morning temperatures perk up fast enough in the late morning to still forge a warmer than normal day, but the sensible weather will begin to feel chilly again",False
AUS,2026-02-22,EWX,,,,,63.0,,,,,False,,none_mentioned,False,False,False,0,0,2,surface ridge axis|light winds,ridge,Colder today with a light freeze forecast over protected valleys north of Highway 90;,False
AUS,2026-02-23,EWX,,,,,67.0,,,,,False,,none_mentioned,False,False,False,1,1,2,surface high pressure|southeast return flow winds,,the mostly sunny skies for today will only lead to highs reaching near but just below late February normals.,False
AUS,2026-02-24,EWX,,,,,75.0,,,,,False,,none_mentioned,True,True,False,1,1,4,moisture return|surface low digging SE|dry-line|west wind,moist_air,"the mixing of winds aloft to the surface is expected to quickly mix up to 5000 ft, allowing the surface directions to bend to the SSW to speed up the warming trend.",False
AUS,2026-02-25,EWX,,85,99,92.0,88.0,4.0,4.0,0,,False,,none_mentioned,False,False,False,0,1,3,low pressure system|low-level jet|dryline advancement,low_level_jet,"The locations to the west of the dryline trend hottest, into the 90s, and include the driest air.",False
AUS,2026-02-26,EWX,,90,100,95.0,85.0,10.0,10.0,1,,False,,none_mentioned,True,False,False,0,0,3,dry front|compressional heating|post-frontal winds,frontal|post_frontal,"Temperatures will quickly warm today, especially in advance of and immediately along the frontal boundary, with aid from compressional heating.",False
AUS,2026-02-27,EWX,,80,89,84.5,87.0,-2.5,2.5,0,,False,,none_mentioned,False,False,False,0,0,2,surface high pressure|southerly flow,,Highs will be mostly in the 80s while locations along the Rio Grande could eclipse 90 degrees.,False
LAX,2026-04-29,LOX,,,,,70.0,,,,,False,,none_mentioned,False,False,False,0,0,3,positively tilted long wave trough|weak offshore flow|onshore flow,marine_layer|trough,The warmer atmosphere and plenty of sunshine will bring 2 to 4 degrees of warming to most areas and will bring max temps up to near normal.,False
LAX,2026-04-30,LOX,,,,,70.0,,,,good,False,,none_mentioned,False,False,False,1,1,3,weak ridge|moderate onshore flow|marine layer stratus/fog,marine_layer|ridge,"Away from the coast, a slight warming trend can be expected through Friday with some cooling on Saturday.",False
LAX,2026-05-01,LOX,,,,,70.0,,,,good,False,,none_mentioned,False,False,False,0,0,3,weak ridge|moderate onshore flow|lower H5 thicknesses,marine_layer|ridge,"As for temperatures, will expect near persistence temperatures today across the area.",False
LAX,2026-05-02,LOX,,,,,68.0,,,,good,False,,none_mentioned,False,False,False,1,1,4,cutoff low|moderate onshore flow|eddy circulations|marine layer stratus,marine_layer|upper_low,High temperatures today will be about 2-6 degrees cooler than Friday with more significant cooling expected for all areas on Sunday.,False
LAX,2026-05-03,LOX,,65,73,69.0,67.0,2.0,2.0,0,,False,,none_mentioned,False,True,False,0,2,4,weak low pressure system|strong onshore flow|marine layer|approaching low,marine_layer,Cst/vly temps will only be in the mid 60s to lower 70s today.,False
LAX,2026-05-04,LOX,,60,69,64.5,68.0,-3.5,3.5,0,,False,,none_mentioned,False,False,False,0,0,2,560 dam upper low|marine layer,marine_layer|upper_low,Max temps will resemble January more than May with highs only in the 60s across the csts/vlys or 10 to 15 degrees blo normals away from the near shore areas.,False
LAX,2026-05-05,LOX,,60,69,64.5,66.0,-1.5,1.5,0,,False,,none_mentioned,False,True,False,0,0,3,upper low|NE return flow|strata-cu deck,upper_low,The cool airmass will remain in place for one more day today and there will not be much change in temps from ydy's cool readings.,False
LAX,2026-05-06,LOX,,70,89,79.5,68.0,11.5,11.5,1,,False,,none_mentioned,True,False,False,0,1,3,building high pressure|decrease in onshore flow|delayed sea breeze,marine_layer,"Overall, temperatures will warm 5-10 degrees both today and Thursday, pushing up highs into the 70s and 80s, warmest in the valleys.",False
LAX,2026-05-07,LOX,,,,,68.0,,,,,False,,none_mentioned,False,False,False,0,0,2,high pressure|marine layer,marine_layer,Temperatures will warm 4-8 degrees today then another few degrees Friday and Saturday pushing inland valleys and the western portion of the San Fernando Valley into the low to mid 90s.,False
